student_id,age,gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty,exam_score
1,17,1,6,2.78,92.9,1,7.4,2,0,1,1,58.9
2,23,2,5,3.37,64.8,1,4.6,0,3,2,2,54.8
3,22,1,1,7.88,76.8,1,8.5,2,0,0,2,90.3
4,20,2,6,0.67,48.4,1,5.8,0,3,1,2,29.7
5,20,0,6,0.89,71.6,1,9.8,2,0,1,2,43.7
6,23,1,2,3.48,65.4,1,4.2,1,2,1,2,58.2
7,17,0,2,1.35,69.0,1,7.4,0,3,0,1,53.7
8,22,1,1,5.48,51.1,1,8.2,2,4,1,2,47.3
9,18,2,5,2.89,92.0,1,6.6,2,4,1,0,44.9
10,17,1,4,6.77,44.8,1,9.8,0,1,0,2,77.7
11,21,0,3,5.99,86.9,1,5.8,0,4,2,0,63.2
12,24,1,0,3.77,96.6,0,4.1,2,3,2,0,53.5
13,22,0,3,6.76,46.4,1,8.1,1,4,2,1,63.9
14,23,0,4,0.81,66.0,1,7.1,2,3,2,2,34.1
15,22,1,2,4.65,75.1,1,7.7,1,1,0,2,83.5
16,23,2,4,4.84,99.4,1,7.3,0,0,0,2,98.5
17,21,1,1,1.97,91.9,1,8.3,0,4,2,2,70.3
18,18,1,5,0.4,64.9,1,6.8,2,4,2,2,32.3
19,23,0,1,4.28,98.1,1,4.4,0,2,1,2,56.2
20,20,1,2,4.11,59.9,1,4.3,2,0,0,2,49.3
21,21,0,3,5.23,60.4,1,4.2,2,0,2,0,68.1
22,19,2,3,1.7,70.4,1,9.8,1,2,1,0,52.1
23,18,1,3,1.44,86.8,1,9.7,0,1,2,0,47.1
24,24,0,6,7.82,51.5,1,6.3,1,4,1,0,84.8
25,23,1,4,0.91,84.5,1,8.0,0,0,1,2,68.9
26,22,1,0,7.91,40.6,1,4.3,1,1,1,2,76.3
27,20,1,5,5.76,55.7,0,8.2,0,4,1,0,71.6
28,23,1,3,5.03,98.5,1,6.7,2,2,0,1,74.1
29,21,0,1,2.72,79.4,1,7.0,1,3,2,2,56.6
30,20,2,2,6.94,67.8,1,4.6,1,1,2,2,49.2
